,custody_type,race,death_type,age
265,0,3,5,27.0
266,3,1,7,65.0
267,2,3,5,69.0
268,2,1,5,37.0
269,0,3,5,53.0
270,2,4,5,43.0
271,3,4,3,33.0
272,2,1,5,54.0
273,2,4,5,44.0
274,2,4,5,57.0
275,2,4,5,35.0
276,2,4,5,52.0
277,2,4,5,32.0
278,2,4,6,31.0
279,3,4,1,29.0
280,3,1,3,48.0
281,0,4,5,27.0
282,1,3,6,27.0
283,2,4,5,65.0
284,0,1,6,35.0
285,2,3,5,35.0
286,2,4,5,47.0
287,1,3,2,34.0
288,2,3,5,73.0
289,2,1,5,58.0
290,2,3,5,38.0
291,3,1,3,56.0
292,3,3,3,52.0
293,2,4,5,61.0
294,3,1,2,33.0
295,2,3,5,58.0
296,2,1,5,44.0
297,2,3,5,50.0
298,2,4,5,61.0
299,2,3,5,25.0
300,2,4,5,47.0
301,2,4,5,57.0
302,2,3,5,44.0
303,2,3,5,41.0
304,2,1,5,63.0
305,3,4,3,24.0
306,3,4,3,39.0
307,0,3,5,47.0
308,2,3,5,40.0
309,2,4,5,34.0
310,0,3,1,30.0
311,2,1,7,49.0
312,2,4,5,59.0
313,2,4,5,57.0
314,3,7,3,14.0
315,2,3,5,62.0
316,2,3,5,41.0
317,2,3,5,51.0
318,0,3,5,49.0
319,2,1,7,52.0
320,2,3,7,48.0
321,3,1,3,32.0
322,2,4,7,30.0
323,2,4,5,47.0
324,2,3,5,61.0
325,2,4,5,60.0
326,3,3,0,30.0
327,0,3,5,66.0
328,0,3,5,42.0
329,2,1,5,59.0
330,3,1,4,32.0
331,0,1,7,43.0
332,2,3,5,51.0
333,2,3,5,60.0
334,2,1,5,36.0
335,2,3,5,61.0
336,3,3,3,39.0
337,2,3,5,59.0
338,3,3,4,26.0
339,2,1,5,37.0
340,2,1,5,77.0
341,3,3,2,31.0
342,3,4,3,27.0
343,1,4,7,21.0
344,0,4,7,45.0
345,2,4,5,59.0
346,2,4,5,52.0
347,2,4,5,70.0
348,2,4,5,73.0
349,2,4,6,39.0
350,2,3,7,33.0
351,2,4,5,39.0
352,2,3,5,32.0
353,2,4,7,36.0
354,2,4,5,46.0
355,2,4,5,55.0
356,2,4,5,56.0
357,2,4,5,64.0
358,0,4,5,50.0
359,0,4,5,32.0
360,2,4,5,62.0
361,2,4,7,33.0
362,3,4,2,28.0
363,0,1,7,35.0
364,2,4,5,68.0
365,0,3,7,34.0
366,3,3,3,36.0
367,0,3,5,32.0
368,0,1,7,36.0
369,2,3,5,53.0
370,2,3,5,42.0
371,2,3,5,57.0
372,0,3,5,44.0
373,2,3,5,52.0
374,2,4,5,54.0
375,0,1,5,49.0
376,2,3,5,28.0
377,3,4,3,35.0
378,3,4,3,39.0
379,0,4,1,37.0
380,2,4,5,66.0
381,2,4,5,59.0
382,2,4,5,53.0
383,3,4,3,20.0
384,2,4,5,37.0
385,0,4,5,74.0
386,0,4,5,48.0
387,2,4,5,54.0
388,0,4,5,58.0
389,2,4,5,58.0
390,3,4,3,20.0
391,0,4,5,55.0
392,2,4,2,41.0
393,2,4,5,78.0
394,3,4,3,36.0
395,3,3,2,27.0
396,3,4,3,30.0
397,2,1,5,63.0
398,2,4,7,32.0
399,2,4,5,57.0
400,2,4,5,57.0
401,2,4,5,55.0
