,custody_type,race,death_type,age
1147,2,1,5,56.0
1148,2,4,5,71.0
1149,2,4,5,59.0
1150,2,3,5,47.0
1151,3,1,2,37.0
1152,3,3,3,54.0
1153,2,3,5,47.0
1154,2,3,5,64.0
1155,2,3,5,56.0
1156,2,1,5,80.0
1157,0,3,3,43.0
1158,2,3,5,75.0
1159,2,3,5,40.0
1160,2,3,5,66.0
1161,0,3,5,58.0
1162,2,3,5,56.0
1163,1,3,5,57.0
1164,0,3,5,57.0
1165,3,1,3,68.0
1166,2,3,5,50.0
1167,0,1,5,57.0
1168,2,3,5,62.0
1169,2,1,5,79.0
1170,2,3,5,51.0
1171,2,3,5,42.0
1172,2,3,5,40.0
1173,2,1,5,51.0
1174,2,1,5,52.0
1175,2,3,5,61.0
1176,2,1,5,65.0
1177,2,1,5,68.0
1178,2,1,5,69.0
1179,2,3,5,53.0
1180,2,4,5,45.0
1181,3,4,3,24.0
1182,2,1,5,50.0
1183,3,1,3,38.0
1184,2,3,5,55.0
1185,2,1,5,52.0
1186,2,3,5,43.0
1187,2,4,5,58.0
1188,2,4,5,62.0
1189,2,3,5,49.0
1190,2,4,5,57.0
1191,2,4,5,43.0
1192,2,3,5,67.0
1193,2,3,5,51.0
1194,2,1,5,64.0
1195,2,3,5,66.0
1196,3,3,3,18.0
1197,2,3,5,53.0
1198,2,1,5,77.0
1199,2,1,5,56.0
1200,2,1,5,50.0
1201,2,1,5,35.0
1202,2,1,5,58.0
1203,2,1,5,37.0
1204,2,1,5,58.0
1205,2,3,5,50.0
1206,3,3,3,35.0
1207,2,3,5,61.0
1208,2,1,5,64.0
1209,0,1,7,28.0
1210,1,3,7,23.0
1211,2,3,5,32.0
1212,2,1,5,61.0
1213,3,3,3,25.0
1214,2,3,5,40.0
1215,2,3,5,54.0
1216,3,1,3,42.0
1217,3,1,3,28.0
1218,2,3,5,43.0
1219,2,1,7,25.0
1220,2,1,5,56.0
1221,2,1,5,57.0
1222,2,1,5,63.0
1223,0,1,2,63.0
1224,2,1,5,72.0
1225,2,1,5,80.0
1226,0,1,5,61.0
1227,2,3,5,58.0
1228,3,1,7,21.0
1229,3,1,3,26.0
1230,2,1,5,50.0
1231,3,1,3,26.0
1232,0,2,2,23.0
1233,3,1,3,32.0
1234,3,1,2,25.0
1235,0,1,7,31.0
1236,3,3,3,18.0
1237,2,1,7,21.0
1238,3,1,4,29.0
1239,2,1,5,76.0
1240,3,3,3,26.0
1241,3,1,3,24.0
1242,2,3,5,49.0
1243,2,1,5,54.0
1244,2,4,5,84.0
1245,1,4,7,24.0
1246,2,4,5,66.0
1247,2,4,5,54.0
1248,2,3,5,57.0
1249,2,1,5,92.0
1250,2,4,5,55.0
1251,3,3,3,40.0
1252,2,1,5,51.0
1253,0,3,2,31.0
1254,0,1,5,50.0
1255,3,3,3,22.0
1256,0,1,7,36.0
1257,0,3,5,21.0
1258,2,3,5,31.0
1259,3,3,3,27.0
1260,2,3,5,26.0
1261,2,3,5,30.0
1262,2,3,7,21.0
1263,2,3,5,62.0
1264,3,3,1,47.0
1265,2,3,5,50.0
1266,0,3,5,26.0
1267,2,3,5,23.0
1268,2,3,5,33.0
1269,3,4,2,43.0
1270,2,4,5,62.0
1271,2,1,5,48.0
1272,3,3,2,25.0
1273,0,1,1,33.0
1274,2,3,5,56.0
1275,2,1,5,68.0
1276,3,1,3,41.0
1277,0,3,5,47.0
1278,3,3,2,42.0
1279,2,3,5,58.0
1280,2,1,5,56.0
1281,0,1,5,45.0
1282,2,1,6,53.0
1283,2,4,4,62.0
1284,0,4,7,25.0
1285,2,4,5,89.0
1286,0,4,5,57.0
1287,2,4,7,26.0
1288,2,3,5,54.0
1289,0,4,7,28.0
1290,0,1,7,32.0
1291,2,1,5,51.0
1292,2,4,5,44.0
1293,2,3,5,70.0
1294,2,1,5,66.0
1295,2,3,5,41.0
1296,0,3,7,34.0
1297,3,3,7,28.0
1298,2,3,5,52.0
1299,0,3,5,28.0
1300,1,1,2,46.0
1301,2,1,5,59.0
1302,2,3,5,54.0
1303,2,3,5,66.0
1304,2,3,5,35.0
1305,2,3,5,61.0
1306,2,1,5,61.0
1307,3,1,4,39.0
1308,2,1,5,60.0
1309,2,3,5,47.0
1310,2,4,5,38.0
1311,2,1,5,79.0
1312,3,3,2,56.0
1313,2,3,5,42.0
1314,2,3,5,74.0
1315,2,3,5,63.0
1316,0,3,5,32.0
1317,2,3,5,40.0
1318,2,1,5,59.0
1319,2,1,7,46.0
1320,2,3,5,44.0
1321,2,1,5,59.0
1322,0,3,5,49.0
1323,2,3,5,59.0
1324,2,1,5,50.0
1325,2,1,5,56.0
1326,2,1,5,56.0
1327,2,4,5,38.0
1328,2,3,5,44.0
1329,0,3,5,49.0
1330,2,3,5,62.0
1331,2,3,5,42.0
1332,3,3,3,25.0
1333,2,1,5,49.0
1334,3,1,3,30.0
1335,2,1,4,42.0
1336,2,1,5,80.0
1337,0,1,5,41.0
1338,2,1,5,59.0
1339,2,1,5,61.0
1340,3,1,3,53.0
1341,2,3,5,39.0
1342,2,1,5,78.0
1343,2,1,5,44.0
1344,3,1,2,20.0
1345,2,1,5,84.0
1346,2,1,5,70.0
1347,2,1,5,66.0
1348,2,4,5,57.0
1349,0,1,5,37.0
1350,2,4,5,52.0
1351,0,1,7,37.0
1352,3,3,3,37.0
1353,2,1,5,50.0
1354,2,3,7,25.0
1355,2,1,5,35.0
1356,2,1,5,60.0
1357,2,1,5,60.0
1358,0,3,7,27.0
1359,2,1,5,26.0
1360,0,4,5,20.0
1361,2,4,5,44.0
1362,2,1,5,47.0
1363,3,1,7,45.0
1364,3,4,3,27.0
1365,2,4,5,46.0
1366,2,4,5,51.0
1367,0,4,5,28.0
1368,0,1,7,25.0
1369,3,4,3,23.0
1370,2,1,5,75.0
1371,3,1,3,27.0
1372,2,1,7,48.0
1373,3,4,4,23.0
1374,0,4,6,34.0
1375,2,1,5,62.0
1376,2,4,5,54.0
1377,2,4,5,61.0
1378,2,1,5,52.0
1379,2,4,7,24.0
1380,2,4,5,45.0
1381,2,4,5,45.0
1382,3,1,2,24.0
1383,2,4,5,89.0
1384,0,4,5,68.0
1385,2,1,7,46.0
1386,2,1,5,40.0
1387,3,4,3,42.0
1388,2,4,5,45.0
1389,2,1,7,23.0
1390,3,1,3,39.0
1391,2,1,6,48.0
1392,2,3,5,50.0
1393,0,1,5,49.0
1394,2,4,5,53.0
1395,2,3,5,50.0
1396,2,4,5,48.0
1397,3,1,3,47.0
1398,2,4,5,51.0
1399,2,4,5,74.0
1400,2,3,5,61.0
1401,3,4,3,18.0
1402,2,1,5,34.0
1403,3,3,3,42.0
1404,3,4,3,37.0
1405,2,4,5,48.0
1406,2,4,5,69.0
1407,2,4,5,62.0
1408,3,1,3,47.0
1409,3,1,3,56.0
1410,2,1,5,32.0
1411,3,1,7,33.0
1412,0,3,5,65.0
1413,2,1,5,63.0
1414,2,4,5,51.0
1415,1,4,2,21.0
1416,3,3,3,31.0
1417,0,1,7,29.0
1418,2,4,5,48.0
1419,2,4,5,52.0
1420,0,3,5,49.0
1421,2,4,6,27.0
1422,1,4,7,43.0
1423,0,1,5,46.0
1424,2,4,5,48.0
1425,2,3,5,21.0
1426,3,3,3,26.0
1427,2,4,5,52.0
1428,2,3,5,68.0
1429,2,1,5,52.0
1430,2,4,5,49.0
1431,2,1,5,59.0
1432,2,1,5,54.0
1433,3,4,3,17.0
1434,2,3,5,51.0
1435,2,1,5,59.0
1436,2,1,5,50.0
1437,2,4,7,31.0
1438,0,1,4,27.0
1439,2,1,5,66.0
1440,2,1,5,55.0
1441,2,1,5,51.0
1442,0,3,5,40.0
1443,2,1,5,66.0
1444,0,4,5,55.0
1445,2,4,5,41.0
1446,2,4,5,32.0
1447,2,1,5,68.0
1448,2,1,5,56.0
1449,2,3,5,58.0
1450,3,3,3,24.0
1451,2,1,5,57.0
1452,2,1,5,69.0
1453,3,3,7,24.0
1454,0,1,5,51.0
1455,3,1,5,52.0
1456,2,3,5,54.0
1457,0,3,5,53.0
1458,3,3,6,21.0
1459,2,3,1,24.0
1460,3,1,3,0.0
1461,2,3,5,46.0
1462,2,3,5,54.0
1463,2,3,5,52.0
1464,2,3,4,36.0
1465,3,1,3,42.0
1466,2,1,5,51.0
1467,2,1,5,78.0
1468,2,1,5,44.0
1469,0,3,7,23.0
1470,1,3,2,44.0
1471,3,1,3,25.0
1472,2,1,5,47.0
1473,2,1,7,43.0
1474,2,3,5,59.0
1475,2,1,5,45.0
1476,2,3,5,45.0
1477,0,2,5,46.0
1478,2,3,5,50.0
1479,3,1,3,25.0
1480,2,1,5,49.0
1481,0,1,7,46.0
1482,2,3,5,51.0
1483,2,3,5,50.0
1484,2,3,5,44.0
1485,2,3,5,56.0
1486,2,3,5,50.0
1487,3,4,0,24.0
1488,0,3,5,29.0
1489,3,3,3,19.0
1490,3,3,3,19.0
1491,3,3,2,27.0
1492,0,1,5,44.0
1493,0,1,7,54.0
1494,2,4,5,47.0
1495,2,1,5,68.0
1496,2,1,5,40.0
1497,1,4,5,38.0
1498,2,1,5,73.0
1499,2,4,5,41.0
1500,1,1,5,64.0
1501,2,1,5,58.0
1502,2,1,5,62.0
1503,2,4,5,56.0
1504,2,1,5,60.0
1505,3,3,3,27.0
1506,2,1,5,63.0
1507,2,1,5,39.0
1508,2,1,5,48.0
1509,3,3,3,26.0
1510,2,1,5,49.0
1511,3,4,2,22.0
1512,2,4,5,47.0
1513,3,4,7,36.0
1514,2,3,5,62.0
1515,2,4,5,47.0
1516,2,4,5,49.0
1517,2,1,5,65.0
1518,0,3,7,32.0
1519,2,4,5,64.0
1520,2,1,5,67.0
1521,2,1,5,61.0
1522,3,1,3,34.0
1523,0,4,5,53.0
1524,2,1,5,58.0
1525,2,1,5,60.0
1526,2,1,5,46.0
1527,1,1,2,31.0
1528,2,3,5,52.0
1529,2,4,5,64.0
1530,0,1,5,45.0
1531,3,1,7,53.0
1532,2,1,5,63.0
1533,2,3,5,41.0
1534,2,1,5,47.0
1535,2,3,5,59.0
1536,0,1,5,52.0
1537,2,1,5,52.0
1538,2,1,5,45.0
1539,2,4,7,32.0
1540,2,1,7,70.0
1541,3,4,3,22.0
1542,2,4,5,49.0
1543,0,4,5,47.0
1544,3,4,2,43.0
1545,0,3,5,59.0
1546,0,1,7,34.0
1547,2,4,5,42.0
1548,3,4,2,44.0
1549,2,1,5,62.0
1550,2,1,5,48.0
1551,3,1,3,57.0
1552,2,1,5,51.0
1553,3,1,3,38.0
1554,2,1,7,30.0
1555,0,1,5,62.0
1556,2,3,5,50.0
1557,3,3,0,29.0
1558,3,1,3,32.0
1559,2,1,5,61.0
1560,2,1,5,57.0
1561,2,1,5,61.0
1562,2,4,5,52.0
1563,2,1,7,43.0
1564,2,1,7,39.0
1565,2,1,5,54.0
1566,2,1,7,36.0
1567,0,1,7,49.0
1568,2,1,5,45.0
1569,2,1,5,51.0
1570,2,3,5,62.0
1571,3,3,3,17.0
1572,2,3,5,54.0
1573,0,3,5,63.0
1574,3,3,3,19.0
1575,2,1,5,59.0
1576,3,1,1,68.0
1577,2,1,5,59.0
1578,3,1,3,62.0
1579,2,4,5,57.0
1580,2,1,7,33.0
1581,0,1,7,29.0
1582,2,1,5,62.0
1583,2,1,5,70.0
1584,2,1,5,49.0
1585,3,3,3,41.0
1586,2,1,5,47.0
1587,2,3,5,52.0
1588,2,1,5,64.0
1589,2,1,5,55.0
1590,1,4,7,20.0
1591,0,1,7,42.0
1592,2,1,2,41.0
1593,2,4,5,43.0
1594,2,4,4,61.0
1595,2,1,5,65.0
1596,2,1,5,58.0
1597,3,1,6,43.0
1598,3,1,7,35.0
1599,2,1,5,65.0
1600,2,3,5,42.0
1601,2,3,5,52.0
1602,2,1,5,38.0
1603,0,3,2,48.0
1604,3,4,1,21.0
1605,2,4,5,53.0
1606,2,4,5,48.0
1607,2,1,7,52.0
1608,2,4,5,73.0
1609,3,4,3,52.0
1610,0,1,5,30.0
1611,0,4,5,38.0
1612,3,4,7,26.0
1613,2,3,5,52.0
1614,3,3,3,21.0
1615,2,3,6,26.0
1616,2,1,5,59.0
1617,2,4,5,63.0
1618,2,1,5,57.0
1619,2,4,5,32.0
1620,2,1,5,57.0
1621,2,1,5,67.0
1622,3,7,3,45.0
1623,2,3,5,55.0
1624,2,1,5,59.0
1625,2,3,5,54.0
1626,2,1,5,45.0
1627,2,1,5,49.0
1628,2,1,5,62.0
1629,3,1,1,33.0
1630,2,1,5,44.0
1631,2,1,7,38.0
1632,2,1,5,62.0
1633,2,3,5,40.0
1634,0,4,0,56.0
1635,2,4,7,38.0
1636,2,4,5,53.0
1637,2,4,5,57.0
1638,2,1,5,60.0
1639,3,1,3,42.0
1640,2,4,5,48.0
1641,2,4,5,72.0
1642,0,1,5,49.0
1643,3,1,3,53.0
1644,3,1,7,44.0
1645,0,4,7,28.0
1646,3,1,3,22.0
1647,3,3,2,35.0
1648,3,1,2,22.0
1649,2,1,5,42.0
1650,2,1,5,54.0
1651,2,1,5,79.0
1652,2,3,5,65.0
1653,2,1,5,79.0
1654,2,3,5,43.0
1655,0,1,7,40.0
1656,2,4,5,40.0
1657,2,4,5,53.0
1658,3,1,1,34.0
1659,2,1,5,59.0
1660,0,3,5,52.0
1661,1,1,5,52.0
1662,2,3,5,53.0
1663,3,3,7,27.0
1664,0,3,2,27.0
1665,2,3,5,34.0
1666,0,3,5,50.0
1667,2,1,5,51.0
1668,2,3,5,58.0
1669,2,3,5,40.0
1670,2,4,5,58.0
1671,2,4,5,54.0
1672,2,4,5,57.0
1673,2,1,5,74.0
1674,2,1,5,62.0
1675,2,4,5,53.0
1676,2,3,5,51.0
1677,2,1,5,54.0
1678,3,3,2,39.0
1679,2,3,5,41.0
1680,2,3,7,29.0
1681,2,3,7,36.0
1682,0,3,5,41.0
1683,2,1,5,37.0
1684,3,1,2,37.0
1685,2,1,5,64.0
1686,0,1,7,45.0
1687,3,3,7,31.0
1688,2,3,5,51.0
1689,2,1,5,58.0
1690,0,1,7,40.0
1691,0,3,5,53.0
1692,0,1,2,35.0
1693,2,1,5,56.0
1694,2,3,5,67.0
1695,2,3,5,51.0
1696,0,3,5,56.0
1697,3,1,3,47.0
1698,2,4,5,39.0
1699,2,1,5,67.0
1700,3,3,3,35.0
1701,2,1,5,56.0
1702,3,1,3,57.0
1703,2,1,5,56.0
1704,2,3,5,52.0
1705,2,1,5,61.0
1706,2,1,5,48.0
1707,2,1,5,63.0
1708,0,1,5,47.0
1709,3,1,3,40.0
1710,3,3,2,49.0
1711,2,3,5,71.0
1712,2,1,5,59.0
1713,2,3,5,51.0
1714,0,1,5,50.0
1715,3,3,3,20.0
1716,3,3,3,23.0
1717,2,1,5,44.0
1718,0,3,5,49.0
1719,3,1,7,32.0
1720,3,4,3,14.0
1721,2,1,5,49.0
1722,3,1,3,34.0
1723,2,1,5,59.0
1724,2,3,5,56.0
1725,3,3,2,33.0
1726,1,3,2,33.0
1727,2,3,5,50.0
1728,2,3,5,40.0
1729,3,3,3,31.0
1730,3,1,3,26.0
1731,0,3,6,61.0
1732,3,3,3,20.0
1733,0,3,5,42.0
1734,2,3,5,41.0
1735,2,1,5,78.0
1736,2,3,5,33.0
1737,0,4,5,29.0
1738,3,3,3,45.0
1739,2,3,5,70.0
1740,2,3,5,46.0
1741,3,4,3,16.0
1742,3,1,3,23.0
1743,3,3,3,37.0
1744,2,1,5,71.0
1745,3,3,3,16.0
1746,2,3,5,57.0
1747,2,3,5,31.0
1748,2,1,5,68.0
1749,2,3,5,51.0
1750,2,1,7,27.0
1751,2,3,5,51.0
1752,0,3,5,55.0
1753,1,1,7,45.0
1754,2,3,5,57.0
1755,2,1,7,44.0
1756,0,4,5,46.0
1757,0,4,3,51.0
1758,3,4,7,42.0
1759,3,4,3,41.0
1760,3,4,3,40.0
1761,2,3,7,28.0
1762,2,4,5,54.0
1763,2,4,7,38.0
1764,3,4,3,25.0
1765,2,1,5,41.0
1766,3,4,3,54.0
1767,2,4,5,82.0
1768,2,4,5,53.0
1769,0,4,5,45.0
1770,2,4,5,68.0
1771,2,4,5,64.0
1772,2,4,5,50.0
1773,2,4,5,45.0
1774,3,4,7,42.0
1775,2,4,2,45.0
1776,0,3,5,51.0
1777,0,1,5,60.0
1778,2,3,5,31.0
1779,3,3,3,21.0
1780,2,1,5,59.0
1781,2,1,5,64.0
1782,2,3,5,46.0
1783,2,3,5,49.0
1784,2,1,5,72.0
1785,2,3,5,49.0
1786,2,3,5,56.0
1787,2,1,5,75.0
1788,3,4,5,43.0
1789,0,3,5,49.0
1790,2,1,5,49.0
1791,2,3,5,63.0
1792,2,1,5,56.0
1793,2,1,5,49.0
1794,2,3,5,51.0
1795,0,1,5,38.0
1796,2,1,5,56.0
1797,2,3,5,51.0
1798,2,3,5,70.0
1799,2,1,5,84.0
1800,2,1,5,64.0
1801,2,3,5,56.0
1802,2,1,5,49.0
1803,2,3,5,48.0
1804,2,1,5,41.0
1805,2,1,5,69.0
1806,2,1,5,58.0
1807,2,1,5,48.0
1808,2,1,5,55.0
1809,2,1,5,75.0
1810,2,1,5,65.0
1811,2,1,5,50.0
1812,2,1,5,77.0
1813,2,1,5,54.0
1814,2,1,5,55.0
1815,2,1,5,59.0
1816,1,3,2,53.0
1817,2,3,5,50.0
1818,2,1,5,71.0
1819,2,3,5,50.0
1820,2,1,5,60.0
1821,2,3,5,61.0
1822,3,1,2,49.0
1823,2,3,5,53.0
1824,2,3,5,55.0
1825,2,1,5,48.0
1826,2,3,5,49.0
1827,0,3,5,60.0
1828,0,3,5,48.0
1829,0,3,6,38.0
1830,2,1,5,47.0
1831,2,3,5,52.0
1832,0,1,7,29.0
1833,2,3,5,65.0
1834,2,3,5,68.0
1835,2,1,5,67.0
1836,2,3,5,54.0
1837,2,1,5,81.0
1838,2,3,5,42.0
1839,2,3,5,59.0
1840,2,3,5,57.0
1841,2,3,1,42.0
1842,2,1,5,56.0
1843,2,1,5,78.0
1844,1,3,2,51.0
1845,2,3,5,49.0
1846,2,4,5,61.0
1847,2,1,5,70.0
1848,3,3,3,24.0
1849,3,1,5,61.0
1850,2,1,5,57.0
1851,2,1,5,70.0
1852,2,1,5,71.0
1853,0,3,5,48.0
1854,3,1,3,50.0
1855,0,1,5,38.0
1856,2,1,5,39.0
1857,2,3,5,55.0
1858,2,3,5,39.0
1859,2,1,5,62.0
1860,2,1,1,60.0
1861,2,1,5,59.0
1862,2,3,5,50.0
1863,2,4,5,38.0
1864,0,3,5,41.0
1865,3,4,3,44.0
1866,3,3,3,19.0
1867,2,3,5,55.0
1868,2,3,5,52.0
1869,2,1,5,79.0
1870,3,4,3,22.0
1871,0,1,5,49.0
1872,0,4,5,53.0
1873,2,1,5,60.0
1874,3,1,3,24.0
1875,2,1,6,43.0
1876,2,3,5,36.0
1877,2,1,5,57.0
1878,2,1,5,61.0
1879,3,1,3,60.0
1880,0,1,5,44.0
1881,2,3,5,55.0
1882,2,3,6,56.0
1883,2,1,5,62.0
1884,2,1,5,58.0
1885,2,3,5,53.0
1886,2,1,7,53.0
1887,3,1,2,37.0
1888,0,1,7,32.0
1889,3,3,2,27.0
1890,2,1,5,75.0
1891,2,1,5,61.0
1892,2,1,5,71.0
1893,2,1,5,53.0
1894,2,1,5,62.0
1895,2,3,5,21.0
1896,2,1,5,53.0
1897,2,1,5,79.0
1898,0,1,5,58.0
1899,2,1,5,56.0
1900,3,1,3,34.0
1901,2,1,5,81.0
1902,2,1,5,63.0
1903,0,3,7,24.0
1904,2,1,5,59.0
1905,2,1,5,75.0
1906,2,1,5,53.0
1907,2,4,5,39.0
1908,3,3,2,27.0
1909,3,1,3,24.0
1910,3,3,5,26.0
1911,3,1,3,24.0
1912,2,3,7,22.0
1913,3,1,7,23.0
1914,0,1,7,26.0
1915,1,1,7,21.0
1916,2,3,5,57.0
1917,3,3,3,41.0
1918,2,3,5,61.0
1919,2,3,5,50.0
1920,2,1,5,52.0
1921,3,7,3,48.0
1922,2,3,5,42.0
1923,3,1,3,44.0
1924,2,3,5,48.0
1925,0,1,5,67.0
1926,2,1,5,70.0
1927,2,3,5,59.0
1928,3,1,7,26.0
1929,2,3,5,56.0
1930,3,1,3,33.0
1931,2,3,5,41.0
1932,2,3,5,52.0
1933,2,3,5,37.0
1934,2,1,5,39.0
1935,2,1,5,74.0
1936,0,3,7,39.0
1937,2,1,5,66.0
1938,2,3,5,64.0
1939,2,1,5,64.0
1940,2,3,5,54.0
1941,2,1,5,74.0
1942,2,1,5,56.0
1943,2,1,5,78.0
1944,2,1,5,58.0
1945,2,1,5,59.0
1946,2,1,5,73.0
1947,2,3,5,69.0
1948,2,3,5,57.0
1949,2,1,5,58.0
1950,2,3,5,53.0
1951,3,1,4,36.0
1952,2,3,5,51.0
1953,2,4,5,32.0
1954,3,1,3,42.0
1955,0,3,5,47.0
1956,2,3,5,43.0
1957,3,3,3,67.0
1958,2,1,7,47.0
1959,2,3,5,60.0
1960,2,3,5,65.0
1961,2,3,5,57.0
1962,2,3,5,59.0
1963,2,3,5,50.0
1964,2,3,5,60.0
1965,2,4,7,42.0
1966,2,1,5,51.0
1967,2,3,5,59.0
1968,2,3,5,60.0
1969,2,3,5,70.0
1970,2,3,5,54.0
1971,2,1,5,51.0
1972,2,1,5,50.0
1973,3,4,3,33.0
1974,2,3,5,45.0
1975,3,4,3,17.0
1976,3,4,3,21.0
1977,2,3,5,57.0
1978,3,4,3,45.0
1979,2,1,5,57.0
1980,2,1,5,81.0
1981,2,1,5,64.0
1982,2,1,5,61.0
1983,2,1,5,63.0
1984,2,4,5,59.0
1985,2,4,5,61.0
1986,2,4,5,44.0
1987,2,4,7,31.0
1988,2,4,5,41.0
1989,2,4,7,26.0
1990,2,4,5,60.0
1991,2,4,5,50.0
1992,2,4,5,38.0
1993,3,4,3,19.0
1994,0,4,1,61.0
1995,2,4,5,62.0
1996,2,4,5,38.0
1997,2,3,5,63.0
1998,2,4,5,44.0
1999,2,1,5,56.0
2000,2,3,5,53.0
2001,3,1,3,35.0
2002,2,1,5,72.0
2003,2,3,5,72.0
2004,3,1,3,32.0
2005,0,3,5,54.0
2006,3,1,7,67.0
2007,2,4,5,55.0
2008,2,4,5,48.0
2009,2,3,5,53.0
2010,2,3,5,52.0
2011,2,1,5,77.0
2012,2,1,5,64.0
2013,2,1,5,54.0
2014,0,4,7,20.0
2015,2,4,5,51.0
2016,2,4,5,62.0
2017,2,3,5,51.0
2018,2,4,5,75.0
2019,0,3,6,46.0
2020,2,3,5,54.0
2021,2,4,7,26.0
2022,2,4,5,80.0
2023,2,4,5,68.0
2024,0,4,5,46.0
2025,2,3,5,51.0
2026,2,1,5,67.0
2027,2,4,5,47.0
2028,2,1,5,44.0
2029,3,3,3,48.0
2030,3,3,3,39.0
2031,2,1,5,33.0
2032,2,1,5,79.0
2033,2,3,5,73.0
2034,2,1,5,67.0
2035,2,3,5,36.0
2036,2,1,5,62.0
2037,2,1,4,60.0
2038,3,3,0,50.0
2039,0,1,7,37.0
2040,2,1,5,81.0
2041,2,1,5,68.0
2042,2,1,5,78.0
2043,2,4,5,44.0
2044,2,4,5,50.0
2045,2,4,5,47.0
2046,2,4,5,61.0
2047,3,4,3,20.0
2048,1,4,2,32.0
2049,2,4,5,68.0
2050,2,3,5,65.0
2051,2,3,4,38.0
2052,3,3,2,48.0
2053,2,1,5,52.0
2054,2,1,5,74.0
2055,2,4,5,54.0
2056,2,4,5,51.0
2057,1,1,7,36.0
2058,2,3,5,55.0
2059,3,1,7,22.0
2060,2,4,5,71.0
2061,2,1,5,60.0
2062,2,4,7,44.0
2063,0,4,4,33.0
2064,2,3,5,30.0
2065,0,1,6,21.0
2066,3,3,3,17.0
2067,2,3,6,36.0
2068,2,3,5,72.0
2069,2,3,5,52.0
2070,2,3,5,80.0
2071,2,4,5,74.0
2072,2,4,5,78.0
2073,2,4,5,49.19434720601582
2074,3,4,7,23.0
2075,0,3,5,31.0
2076,0,1,5,43.0
2077,2,3,5,72.0
2078,2,1,5,49.0
2079,2,1,5,77.0
2080,0,1,5,61.0
2081,2,3,7,37.0
2082,2,3,4,51.0
2083,2,1,5,75.0
2084,2,1,5,55.0
2085,2,1,5,59.0
2086,2,3,5,62.0
2087,2,1,5,62.0
2088,2,3,5,45.0
2089,3,3,2,32.0
2090,0,4,5,53.0
2091,2,4,5,62.0
2092,0,4,5,53.0
2093,2,4,5,47.0
2094,2,4,5,54.0
2095,2,4,5,51.0
2096,2,3,5,54.0
2097,2,1,5,54.0
2098,3,3,3,31.0
2099,2,3,5,68.0
2100,2,4,5,52.0
2101,2,4,5,64.0
2102,2,1,5,52.0
2103,2,3,5,42.0
2104,0,4,2,23.0
2105,2,1,5,65.0
2106,2,3,5,48.0
2107,0,4,7,30.0
2108,3,4,3,18.0
2109,3,4,3,35.0
2110,0,1,7,20.0
2111,3,1,3,32.0
2112,2,1,5,66.0
2113,2,3,5,54.0
2114,0,3,4,18.0
2115,2,1,5,61.0
2116,2,4,5,66.0
2117,2,3,5,60.0
2118,2,4,5,78.0
2119,2,4,5,57.0
2120,3,4,3,45.0
2121,2,4,5,51.0
2122,2,3,5,57.0
2123,2,3,5,33.0
2124,0,3,7,33.0
2125,2,4,5,39.0
2126,2,4,5,55.0
2127,2,4,5,55.0
2128,2,4,5,28.0
2129,2,4,5,55.0
2130,2,4,5,47.0
2131,2,4,5,38.0
2132,2,4,5,41.0
2133,2,3,5,55.0
2134,2,4,5,62.0
2135,2,4,5,55.0
2136,3,4,3,20.0
2137,2,1,5,40.0
2138,2,1,5,49.0
2139,2,3,6,51.0
2140,3,4,2,22.0
2141,3,1,7,43.0
2142,2,4,5,43.0
2143,0,1,7,25.0
2144,3,4,3,24.0
2145,1,1,2,32.0
2146,3,4,3,29.0
2147,3,1,2,43.0
2148,2,3,5,54.0
2149,3,4,3,33.0
2150,2,3,5,44.0
2151,3,1,2,22.0
2152,2,3,5,54.0
2153,2,3,5,36.0
2154,0,1,6,53.0
2155,3,3,2,30.0
2156,0,4,7,24.0
2157,2,3,4,45.0
2158,3,1,0,40.0
2159,2,3,5,60.0
2160,3,1,3,22.0
2161,3,1,7,29.0
2162,2,3,5,56.0
2163,3,4,3,18.0
2164,2,4,1,33.0
2165,3,4,0,17.0
2166,3,3,3,28.0
2167,2,4,7,27.0
2168,3,3,2,41.0
2169,3,4,3,22.0
2170,2,4,5,46.0
2171,2,1,5,70.0
2172,0,4,5,49.0
2173,2,4,5,53.0
2174,2,4,5,65.0
2175,2,4,5,43.0
2176,0,4,5,58.0
2177,2,3,5,34.0
2178,2,1,5,55.0
2179,3,3,5,56.0
2180,2,1,5,39.0
2181,2,1,5,68.0
2182,2,3,5,51.0
2183,2,3,4,43.0
2184,0,1,5,36.0
2185,2,4,5,49.0
2186,3,1,3,70.0
2187,2,1,5,47.0
2188,2,4,5,48.0
2189,2,1,5,68.0
2190,2,1,5,68.0
2191,2,3,5,55.0
2192,2,3,5,63.0
2193,2,3,5,64.0
2194,2,4,5,61.0
2195,3,4,6,41.0
2196,2,4,5,61.0
2197,3,4,3,29.0
2198,2,4,5,52.0
2199,2,4,7,24.0
2200,2,4,5,59.0
2201,2,4,5,31.0
2202,2,1,5,84.0
2203,2,3,5,57.0
2204,2,4,5,53.0
2205,2,4,5,54.0
2206,2,4,7,48.0
2207,2,4,5,59.0
2208,0,4,7,29.0
2209,2,4,5,39.0
2210,2,1,5,92.0
2211,3,4,3,24.0
2212,2,4,5,50.0
2213,2,4,5,67.0
2214,3,1,7,23.0
2215,2,3,5,22.0
2216,3,1,3,18.0
2217,3,1,3,26.0
2218,2,3,5,57.0
2219,0,1,7,21.0
2220,2,3,5,45.0
2221,2,1,5,79.0
